Start  Time: 2024/01/07, 10:30:18.427
Export Time: 2024/01/07, 10:30:44.253
Min  (dBA):   26.4
Max  (dBA):   52.3
Peak (dBA):   60.9
Avg  (dBA):   45.6
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
27.6,0.2
29.6,0.2
47.5,0.2
51.3,0.2
46.5,0.2
38.5,0.2
44.0,0.2
48.3,0.2
44.7,0.2
45.1,0.2
46.3,0.2
46.5,0.2
48.4,0.2
44.6,0.2
48.1,0.2
41.0,0.2
48.8,0.2
37.7,0.2
48.9,0.2
49.4,0.2
47.2,0.2
44.9,0.2
47.5,0.2
48.4,0.2
40.7,0.2
45.4,0.2
47.6,0.2
36.1,0.2
27.0,0.2
26.8,0.2
26.9,0.2
27.0,0.2
48.8,0.2
38.7,0.2
35.7,0.2
50.7,0.2
37.1,0.2
47.8,0.2
36.4,0.2
37.5,0.2
50.4,0.2
35.4,0.2
48.1,0.2
35.3,0.2
48.6,0.2
44.0,0.2
47.2,0.2
43.2,0.2
34.4,0.2
49.4,0.2
36.6,0.2
44.3,0.2
47.5,0.2
35.4,0.2
34.2,0.2
49.5,0.2
46.9,0.2
36.0,0.2
51.9,0.2
43.8,0.2
35.0,0.2
34.7,0.2
50.8,0.2
47.1,0.2
32.4,0.2
51.5,0.2
50.6,0.2
34.4,0.2
33.8,0.2
35.9,0.2
52.3,0.2
49.8,0.2
37.6,0.2
35.4,0.2
48.7,0.2
37.6,0.2
35.7,0.2
33.3,0.2
41.2,0.2
50.1,0.2
46.8,0.2
35.9,0.2
33.6,0.2
52.1,0.2
45.2,0.2
32.2,0.2
33.1,0.2
32.5,0.2
33.9,0.2
34.3,0.2
49.8,0.2
46.2,0.2
35.8,0.2
35.1,0.2
28.1,0.2
28.4,0.2
50.7,0.2
46.1,0.2
41.6,0.2
32.8,0.2
30.2,0.2
31.9,0.2
32.3,0.2
31.1,0.2
29.8,0.2
34.5,0.2
37.6,0.2
36.7,0.2
48.1,0.2
42.9,0.2
42.1,0.2
35.1,0.2
33.7,0.2
33.9,0.2
27.2,0.2
26.4,0.2
27.0,0.2
26.4,0.2
26.4,0.2
40.8,0.2
39.8,0.2
42.1,0.2
46.0,0.2
47.1,0.2
37.0,0.2
48.8,0.2
43.7,0.2
49.7,0.2
46.1,0.2
49.8,0.2
45.3,0.2
48.5,0.2
44.5,0.2
30.2,0.2
49.7,0.2
47.0,0.2
48.3,0.2
47.5,0.2
50.7,0.2
50.8,0.2
41.3,0.2
49.2,0.2
