Start  Time: 2024/01/07, 10:15:59.375
Export Time: 2024/01/07, 10:16:33.938
Min  (dBA):   27.9
Max  (dBA):   47.1
Peak (dBA):   54.4
Avg  (dBA):   41.1
TWA  (dBA):   0.0
Dose (%):    0.0

Recorded Value (dBA),Response Time (seconds)
27.9,0.2
30.1,0.2
30.7,0.2
30.6,0.2
31.9,0.2
33.2,0.2
32.3,0.2
31.0,0.2
29.8,0.2
29.6,0.2
29.8,0.2
46.5,0.2
39.3,0.2
44.4,0.2
46.8,0.2
42.7,0.2
44.6,0.2
41.4,0.2
43.3,0.2
43.4,0.2
44.8,0.2
45.1,0.2
44.4,0.2
44.3,0.2
44.5,0.2
42.9,0.2
43.5,0.2
42.4,0.2
44.5,0.2
45.6,0.2
42.9,0.2
43.3,0.2
42.7,0.2
43.8,0.2
29.1,0.2
29.2,0.2
29.6,0.2
29.4,0.2
38.6,0.2
41.9,0.2
42.3,0.2
42.9,0.2
40.2,0.2
42.3,0.2
43.4,0.2
39.1,0.2
41.9,0.2
43.1,0.2
40.5,0.2
39.3,0.2
41.4,0.2
38.9,0.2
40.2,0.2
41.1,0.2
39.8,0.2
39.2,0.2
38.7,0.2
41.8,0.2
39.3,0.2
37.7,0.2
41.1,0.2
37.8,0.2
38.9,0.2
37.0,0.2
39.3,0.2
37.4,0.2
39.1,0.2
39.3,0.2
37.5,0.2
37.8,0.2
36.5,0.2
39.7,0.2
36.7,0.2
38.1,0.2
36.0,0.2
40.4,0.2
33.8,0.2
38.4,0.2
34.9,0.2
43.1,0.2
36.5,0.2
41.0,0.2
35.8,0.2
42.4,0.2
38.0,0.2
39.2,0.2
39.1,0.2
36.7,0.2
42.7,0.2
34.7,0.2
40.9,0.2
36.1,0.2
42.1,0.2
36.8,0.2
40.6,0.2
36.2,0.2
31.8,0.2
29.0,0.2
28.8,0.2
29.2,0.2
29.1,0.2
29.5,0.2
28.7,0.2
29.2,0.2
29.3,0.2
29.3,0.2
28.5,0.2
29.2,0.2
29.4,0.2
29.0,0.2
43.1,0.2
45.7,0.2
41.4,0.2
47.1,0.2
44.1,0.2
40.7,0.2
44.4,0.2
42.9,0.2
42.8,0.2
44.5,0.2
43.8,0.2
44.6,0.2
44.0,0.2
38.9,0.2
44.1,0.2
43.2,0.2
44.2,0.2
43.1,0.2
44.9,0.2
41.8,0.2
44.3,0.2
44.3,0.2
42.7,0.2
35.5,0.2
29.7,0.2
30.0,0.2
30.3,0.2
29.6,0.2
42.2,0.2
41.5,0.2
38.8,0.2
43.5,0.2
41.4,0.2
42.2,0.2
42.2,0.2
45.5,0.2
44.1,0.2
40.1,0.2
42.3,0.2
